$MeshFile
Vertex	X	YZ
0	-0.5	0.50
1	-0.484375	0.50
2	-0.46875	0.50
3	-0.453125	0.50
4	-0.4375	0.50
5	-0.421875	0.50
6	-0.40625	0.50
7	-0.390625	0.50
8	-0.375	0.50
9	-0.359375	0.50
10	-0.34375	0.50
11	-0.328125	0.50
12	-0.3125	0.50
13	-0.296875	0.50
14	-0.28125	0.50
15	-0.265625	0.50
16	-0.25	0.50
17	-0.234375	0.50
18	-0.21875	0.50
19	-0.203125	0.50
20	-0.1875	0.50
21	-0.171875	0.50
22	-0.15625	0.50
23	-0.140625	0.50
24	-0.125	0.50
25	-0.109375	0.50
26	-0.09375	0.50
27	-0.078125	0.50
28	-0.0625	0.50
29	-0.046875	0.50
30	-0.03125	0.50
31	-0.015625	0.50
32	0	0.50
33	0.015625	0.50
34	0.03125	0.50
35	0.046875	0.50
36	0.0625	0.50
37	0.078125	0.50
38	0.09375	0.50
39	0.109375	0.50
40	0.125	0.50
41	0.140625	0.50
42	0.15625	0.50
43	0.171875	0.50
44	0.1875	0.50
45	0.203125	0.50
46	0.21875	0.50
47	0.234375	0.50
48	0.25	0.50
49	0.265625	0.50
50	0.28125	0.50
51	0.296875	0.50
52	0.3125	0.50
53	0.328125	0.50
54	0.34375	0.50
55	0.359375	0.50
56	0.375	0.50
57	0.390625	0.50
58	0.40625	0.50
59	0.421875	0.50
60	0.4375	0.50
61	0.453125	0.50
62	0.46875	0.50
63	0.484375	0.50
64	0.5	0.50
65	-0.5	0.4843750
66	-0.484375	0.4843750
67	-0.46875	0.4843750
68	-0.453125	0.4843750
69	-0.4375	0.4843750
70	-0.421875	0.4843750
71	-0.40625	0.4843750
72	-0.390625	0.4843750
73	-0.375	0.4843750
74	-0.359375	0.4843750
75	-0.34375	0.4843750
76	-0.328125	0.4843750
77	-0.3125	0.4843750
78	-0.296875	0.4843750
79	-0.28125	0.4843750
80	-0.265625	0.4843750
81	-0.25	0.4843750
82	-0.234375	0.4843750
83	-0.21875	0.4843750
84	-0.203125	0.4843750
85	-0.1875	0.4843750
86	-0.171875	0.4843750
87	-0.15625	0.4843750
88	-0.140625	0.4843750
89	-0.125	0.4843750
90	-0.109375	0.4843750
91	-0.09375	0.4843750
92	-0.078125	0.4843750
93	-0.0625	0.4843750
94	-0.046875	0.4843750
95	-0.03125	0.4843750
96	-0.015625	0.4843750
97	0	0.4843750
98	0.015625	0.4843750
99	0.03125	0.4843750
100	0.046875	0.4843750
101	0.0625	0.4843750
102	0.078125	0.4843750
103	0.09375	0.4843750
104	0.109375	0.4843750
105	0.125	0.4843750
106	0.140625	0.4843750
107	0.15625	0.4843750
108	0.171875	0.4843750
109	0.1875	0.4843750
110	0.203125	0.4843750
111	0.21875	0.4843750
112	0.234375	0.4843750
113	0.25	0.4843750
114	0.265625	0.4843750
115	0.28125	0.4843750
116	0.296875	0.4843750
117	0.3125	0.4843750
118	0.328125	0.4843750
119	0.34375	0.4843750
120	0.359375	0.4843750
121	0.375	0.4843750
122	0.390625	0.4843750
123	0.40625	0.4843750
124	0.421875	0.4843750
125	0.4375	0.4843750
126	0.453125	0.4843750
127	0.46875	0.4843750
128	0.484375	0.4843750
129	0.5	0.4843750
130	-0.5	0.468750
131	-0.484375	0.468750
132	-0.46875	0.468750
133	-0.453125	0.468750
134	-0.4375	0.468750
135	-0.421875	0.468750
136	-0.40625	0.468750
137	-0.390625	0.468750
138	-0.375	0.468750
139	-0.359375	0.468750
140	-0.34375	0.468750
141	-0.328125	0.468750
142	-0.3125	0.468750
143	-0.296875	0.468750
144	-0.28125	0.468750
145	-0.265625	0.468750
146	-0.25	0.468750
147	-0.234375	0.468750
148	-0.21875	0.468750
149	-0.203125	0.468750
150	-0.1875	0.468750
151	-0.171875	0.468750
152	-0.15625	0.468750
153	-0.140625	0.468750
154	-0.125	0.468750
155	-0.109375	0.468750
156	-0.09375	0.468750
157	-0.078125	0.468750
158	-0.0625	0.468750
159	-0.046875	0.468750
160	-0.03125	0.468750
161	-0.015625	0.468750
162	0	0.468750
163	0.015625	0.468750
164	0.03125	0.468750
165	0.046875	0.468750
166	0.0625	0.468750
167	0.078125	0.468750
168	0.09375	0.468750
169	0.109375	0.468750
170	0.125	0.468750
171	0.140625	0.468750
172	0.15625	0.468750
173	0.171875	0.468750
174	0.1875	0.468750
175	0.203125	0.468750
176	0.21875	0.468750
177	0.234375	0.468750
178	0.25	0.468750
179	0.265625	0.468750
180	0.28125	0.468750
181	0.296875	0.468750
182	0.3125	0.468750
183	0.328125	0.468750
184	0.34375	0.468750
185	0.359375	0.468750
186	0.375	0.468750
187	0.390625	0.468750
188	0.40625	0.468750
189	0.421875	0.468750
190	0.4375	0.468750
191	0.453125	0.468750
192	0.46875	0.468750
193	0.484375	0.468750
194	0.5	0.468750
195	-0.5	0.4531250
196	-0.484375	0.4531250
197	-0.46875	0.4531250
198	-0.453125	0.4531250
199	-0.4375	0.4531250
200	-0.421875	0.4531250
201	-0.40625	0.4531250
202	-0.390625	0.4531250
203	-0.375	0.4531250
204	-0.359375	0.4531250
205	-0.34375	0.4531250
206	-0.328125	0.4531250
207	-0.3125	0.4531250
208	-0.296875	0.4531250
209	-0.28125	0.4531250
210	-0.265625	0.4531250
211	-0.25	0.4531250
212	-0.234375	0.4531250
213	-0.21875	0.4531250
214	-0.203125	0.4531250
215	-0.1875	0.4531250
216	-0.171875	0.4531250
217	-0.15625	0.4531250
218	-0.140625	0.4531250
219	-0.125	0.4531250
220	-0.109375	0.4531250
221	-0.09375	0.4531250
222	-0.078125	0.4531250
223	-0.0625	0.4531250
224	-0.046875	0.4531250
225	-0.03125	0.4531250
226	-0.015625	0.4531250
227	0	0.4531250
228	0.015625	0.4531250
229	0.03125	0.4531250
230	0.046875	0.4531250
231	0.0625	0.4531250
232	0.078125	0.4531250
233	0.09375	0.4531250
234	0.109375	0.4531250
235	0.125	0.4531250
236	0.140625	0.4531250
237	0.15625	0.4531250
238	0.171875	0.4531250
239	0.1875	0.4531250
240	0.203125	0.4531250
241	0.21875	0.4531250
242	0.234375	0.4531250
243	0.25	0.4531250
244	0.265625	0.4531250
245	0.28125	0.4531250
246	0.296875	0.4531250
247	0.3125	0.4531250
248	0.328125	0.4531250
249	0.34375	0.4531250
250	0.359375	0.4531250
251	0.375	0.4531250
252	0.390625	0.4531250
253	0.40625	0.4531250
254	0.421875	0.4531250
255	0.4375	0.4531250
256	0.453125	0.4531250
257	0.46875	0.4531250
258	0.484375	0.4531250
259	0.5	0.4531250
260	-0.5	0.43750
261	-0.484375	0.43750
262	-0.46875	0.43750
