2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	1	 Ures: 	1.0000000000e+00	 Vres: 	1.0000000000e+00	 Pres: 	1.0000000000e+00	 
Iteration no:	2	 Ures: 	1.1644262533e+00	 Vres: 	2.1900090510e+00	 Pres: 	1.9892040713e+00	 
Iteration no:	3	 Ures: 	8.3609773309e-01	 Vres: 	3.2369530258e+00	 Pres: 	2.6157838481e+00	 
Iteration no:	4	 Ures: 	6.5129540960e-01	 Vres: 	4.0949490098e+00	 Pres: 	3.1108539524e+00	 
Iteration no:	5	 Ures: 	5.3380016098e-01	 Vres: 	4.8101040774e+00	 Pres: 	3.5137065968e+00	 
Iteration no:	6	 Ures: 	4.5212901909e-01	 Vres: 	5.4114408955e+00	 Pres: 	3.8435383606e+00	 
Iteration no:	7	 Ures: 	3.9171444218e-01	 Vres: 	5.9127479243e+00	 Pres: 	4.1146536707e+00	 
Iteration no:	8	 Ures: 	3.4502854096e-01	 Vres: 	6.3281443733e+00	 Pres: 	4.3344242126e+00	 
Iteration no:	9	 Ures: 	3.0781856275e-01	 Vres: 	6.6721453386e+00	 Pres: 	4.5046868307e+00	 
Iteration no:	10	 Ures: 	2.7751726036e-01	 Vres: 	6.9573429062e+00	 Pres: 	4.6243863215e+00	 
Iteration no:	11	 Ures: 	2.5249812252e-01	 Vres: 	7.1936665712e+00	 Pres: 	4.6917077062e+00	 
Iteration no:	12	 Ures: 	2.3169132080e-01	 Vres: 	7.3885812969e+00	 Pres: 	4.7054385361e+00	 
Iteration no:	13	 Ures: 	2.1436690113e-01	 Vres: 	7.5474431930e+00	 Pres: 	4.6657640720e+00	 
Iteration no:	14	 Ures: 	2.0000163081e-01	 Vres: 	7.6737630321e+00	 Pres: 	4.5747071604e+00	 
Iteration no:	15	 Ures: 	1.8819184622e-01	 Vres: 	7.7694053003e+00	 Pres: 	4.4363484185e+00	 
Iteration no:	16	 Ures: 	1.7859547677e-01	 Vres: 	7.8348117833e+00	 Pres: 	4.2569045316e+00	 
Iteration no:	17	 Ures: 	1.7089593236e-01	 Vres: 	7.8693110808e+00	 Pres: 	4.0447104146e+00	 
Iteration no:	18	 Ures: 	1.6478404008e-01	 Vres: 	7.8715254466e+00	 Pres: 	3.8101308151e+00	 
Iteration no:	19	 Ures: 	1.5995438088e-01	 Vres: 	7.8398423207e+00	 Pres: 	3.5654013915e+00	 
Iteration no:	20	 Ures: 	1.5611132140e-01	 Vres: 	7.7728915915e+00	 Pres: 	3.3243499829e+00	 
Iteration no:	21	 Ures: 	1.5297946445e-01	 Vres: 	7.6699640990e+00	 Pres: 	3.1018623452e+00	 
Iteration no:	22	 Ures: 	1.5031393916e-01	 Vres: 	7.5313190911e+00	 Pres: 	2.9128540684e+00	 
Iteration no:	23	 Ures: 	1.4790764553e-01	 Vres: 	7.3583515402e+00	 Pres: 	2.7705088918e+00	 
Iteration no:	24	 Ures: 	1.4559445093e-01	 Vres: 	7.1536166832e+00	 Pres: 	2.6838704578e+00	 
Iteration no:	25	 Ures: 	1.4324874008e-01	 Vres: 	6.9207323451e+00	 Pres: 	2.6555938961e+00	 
Iteration no:	26	 Ures: 	1.4078241471e-01	 Vres: 	6.6641952856e+00	 Pres: 	2.6811714890e+00	 
Iteration no:	27	 Ures: 	1.3814054281e-01	 Vres: 	6.3891541586e+00	 Pres: 	2.7503210453e+00	 
Iteration no:	28	 Ures: 	1.3529661477e-01	 Vres: 	6.1011788766e+00	 Pres: 	2.8497791198e+00	 
Iteration no:	29	 Ures: 	1.3224799653e-01	 Vres: 	5.8060559422e+00	 Pres: 	2.9660249147e+00	 
Iteration no:	30	 Ures: 	1.2901181920e-01	 Vres: 	5.5096242607e+00	 Pres: 	3.0870167441e+00	 
Iteration no:	31	 Ures: 	1.2562128128e-01	 Vres: 	5.2176492029e+00	 Pres: 	3.2028997796e+00	 
Iteration no:	32	 Ures: 	1.2212218681e-01	 Vres: 	4.9357174674e+00	 Pres: 	3.3060604565e+00	 
Iteration no:	33	 Ures: 	1.1856949246e-01	 Vres: 	4.6691248191e+00	 Pres: 	3.3908919616e+00	 
